,y,p
0,1.1333279664,0.5904159252163816
1,1.3999950032,0.2841447720925678
2,1.66666204,0.15044789305372194
3,1.9333290768,0.10486428186995805
4,2.1999961136,0.1012804872688673
5,2.4666631504,0.09146059758576554
6,2.7333301872,0.07855729853416485
7,2.999997224,0.070890901231794
8,3.2666642608,0.06720158887189523
9,3.5333312975999998,0.0614892349326177
10,3.7999983343999997,0.05938731729505238
11,4.066665371199999,0.058873378989093825
12,4.333332408,0.05565875688761856
13,4.5999994448,0.05261558723699665
14,4.866666481599999,0.05145959600623954
15,5.133333518399999,0.053392749921321564
16,5.4000005552,0.052661091705360534
17,5.666667592,0.055095881626319274
18,5.933334628799999,0.0591882236463956
19,6.200001665599999,0.059337928214038535
20,6.4666687024,0.06166694760479412
21,6.733335739199999,0.0672129062498365
22,7.000002775999999,0.07074574479291433
23,7.2666698128,0.07874016261974232
24,7.5333368495999995,0.09124406143818153
25,7.800003886399999,0.101446582087032
26,8.0666709232,0.10454484821306284
27,8.33333796,0.14958248386169942
28,8.6000049968,0.27920979255905365
29,8.8666720336,0.5871777733947385
